env,algorithm,config,eval_tau,run,mc_mean,mc_stddev,mc_cvar,cvar_regret,optimal_action_hit,catastrophic_count
bettinggame,CATSO,"atoms=25,optimism=8.000000,p=1.000000,tau=0.200000",0.20000000000000001,0,0.18280220270156861,0.27454726489671533,-0.0625,0.015624999999999991,0,48
bettinggame,CATSO,"atoms=25,optimism=8.000000,p=1.000000,tau=0.200000",0.20000000000000001,1,0.11248756051063538,0.11296567086443403,-0.034522360563278197,0.0078124999999999957,1,7
bettinggame,CATSO,"atoms=25,optimism=8.000000,p=1.000000,tau=0.250000",0.25,0,0.10809168815612794,0.07922511692561407,-0.0075084114074707034,0.0093749999999999944,1,6
bettinggame,CATSO,"atoms=25,optimism=8.000000,p=1.000000,tau=0.250000",0.25,1,0.076449661254882811,0.081291902434230789,-0.024878692626953126,0.0046874999999999972,1,2
bettinggame,CATSO,"atoms=25,optimism=8.000000,p=2.000000,tau=0.050000",0.050000000000000003,0,0.098851852416992181,0.11410520692065249,-0.0625,0,1,23
bettinggame,CATSO,"atoms=25,optimism=8.000000,p=2.000000,tau=0.050000",0.050000000000000003,1,0.10771981954574585,0.122526402935068,-0.0625,0.015625,0,13
bettinggame,CATSO,"atoms=25,optimism=8.000000,p=2.000000,tau=0.100000",0.10000000000000001,0,0.12342064857482909,0.14933568204308931,-0.0625,0.015625,0,27
bettinggame,CATSO,"atoms=25,optimism=8.000000,p=2.000000,tau=0.100000",0.10000000000000001,1,0.11520476102828979,0.15136681809478597,-0.057822656631469724,0.0078125,1,12
bettinggame,CATSO,"atoms=25,optimism=8.000000,p=2.000000,tau=0.200000",0.20000000000000001,0,0.17972424983978272,0.24152834013139976,-0.053650152683258054,0.0078124999999999957,1,15
bettinggame,CATSO,"atoms=25,optimism=8.000000,p=2.000000,tau=0.200000",0.20000000000000001,1,0.21479315280914307,0.30085041992614536,-0.056180763244628909,0.015624999999999991,0,21
bettinggame,CATSO,"atoms=25,optimism=8.000000,p=2.000000,tau=0.250000",0.25,0,0.083452587127685551,0.091838261451169093,-0.015750246047973634,0.0093749999999999944,1,2
bettinggame,CATSO,"atoms=25,optimism=8.000000,p=2.000000,tau=0.250000",0.25,1,0.24033411026000975,0.3773285878849249,-0.0625,0.0046874999999999972,1,50
bettinggame,CATSO,"atoms=25,optimism=8.000000,p=4.000000,tau=0.050000",0.050000000000000003,0,0.22496373414993287,0.28844519760375581,-0.0625,0.0078125,1,38
bettinggame,CATSO,"atoms=25,optimism=8.000000,p=4.000000,tau=0.050000",0.050000000000000003,1,0.16831620335578917,0.2076099335435154,-0.0625,0.0078125,1,16
bettinggame,CATSO,"atoms=25,optimism=8.000000,p=4.000000,tau=0.100000",0.10000000000000001,0,0.16803436279296874,0.22534893290633876,-0.0625,0.0078125,1,50
bettinggame,CATSO,"atoms=25,optimism=8.000000,p=4.000000,tau=0.100000",0.10000000000000001,1,0.12299601912498474,0.12721782547986032,-0.057586288452148436,0.0078125,1,14
bettinggame,CATSO,"atoms=25,optimism=8.000000,p=4.000000,tau=0.200000",0.20000000000000001,0,0.10391024470329285,0.10893556875791495,-0.058790558576583864,0.0078124999999999957,1,30
bettinggame,CATSO,"atoms=25,optimism=8.000000,p=4.000000,tau=0.200000",0.20000000000000001,1,0.23868326663970948,0.27019181580812429,-0.0625,0.0078124999999999957,1,46
bettinggame,CATSO,"atoms=25,optimism=8.000000,p=4.000000,tau=0.250000",0.25,0,0.12487867832183838,0.13140685487482981,-0.040592403411865235,0.0093749999999999944,1,16
bettinggame,CATSO,"atoms=25,optimism=8.000000,p=4.000000,tau=0.250000",0.25,1,0.18431672811508179,0.20417465422299391,-0.041659412384033201,0.0093749999999999944,1,11
bettinggame,CATSO,"atoms=51,optimism=2.000000,p=1.000000,tau=0.050000",0.050000000000000003,0,0.25137130737304686,0.30678514278613528,-0.060416221618652344,0.015625,0,7
bettinggame,CATSO,"atoms=51,optimism=2.000000,p=1.000000,tau=0.050000",0.050000000000000003,1,0.10619767427444458,0.097067465116226548,-0.061766147613525391,0.0078125,1,8
bettinggame,CATSO,"atoms=51,optimism=2.000000,p=1.000000,tau=0.100000",0.10000000000000001,0,0.14483378887176512,0.13906679746829934,-0.0625,0.015625,0,22
bettinggame,CATSO,"atoms=51,optimism=2.000000,p=1.000000,tau=0.100000",0.10000000000000001,1,0.092894115447998041,0.11673139097261369,-0.046760368347167972,0.0078125,1,3
bettinggame,CATSO,"atoms=51,optimism=2.000000,p=1.000000,tau=0.200000",0.20000000000000001,0,0.14642722129821778,0.17008901038960264,-0.046922922134399414,0.0078124999999999957,1,5
bettinggame,CATSO,"atoms=51,optimism=2.000000,p=1.000000,tau=0.200000",0.20000000000000001,1,0.15654960632324219,0.1587176403545065,-0.045151519775390628,0.015624999999999991,0,16
bettinggame,CATSO,"atoms=51,optimism=2.000000,p=1.000000,tau=0.250000",0.25,0,0.087589724063873289,0.069629437041625497,-0.0089344692230224603,0.0093749999999999944,1,3
